Year,Central_RLI,50% CI Low,50% CI High,80% CI Low,80% CI High,95% CI Low,95% CI High
1993,0.75,0.7456264749477126,0.7543995818927176,0.7471598810437952,0.7528811852380071,0.7434447433406592,0.7569301760119133
1994,0.75,0.7455091784986779,0.7544951677650749,0.746988048702391,0.7529500605750411,0.743135995055919,0.756914093216047
1995,0.75,0.7456810869746487,0.7544627724544626,0.7471603906539901,0.7529588111669901,0.7433116044258198,0.7567991651557284
1996,0.75,0.7456609124172255,0.7544235621980176,0.7472399481311031,0.7529350704787693,0.743211365310327,0.756735943340948
1997,0.75,0.7452872838029714,0.7547615432267878,0.7468773777327016,0.7531091387038152,0.7428505773028772,0.7572863978301443
1998,0.74,0.7356866391798825,0.7444152034572172,0.7371659488621757,0.7428737967785655,0.7333202873777743,0.7466531442510825
1999,0.74,0.7357621363825487,0.7442457685873787,0.7372131879136228,0.7428144194467372,0.7333436767260068,0.7466923969413036
2000,0.74,0.7353005405289321,0.7446212308746167,0.7368766377056648,0.7430388000974327,0.7328491953338755,0.7471687998670842
2001,0.73,0.7256987390788947,0.7344391252599336,0.7271762581749315,0.732945695123581,0.7234537591035514,0.7366148770614442
2002,0.73,0.7256840510038829,0.73440142457236,0.7272123486389842,0.7329123228571185,0.7234030565198839,0.7365961233082784
2003,0.73,0.7256626528543358,0.7343006726282538,0.7271257327847535,0.7328050878686442,0.723303959521526,0.7365790026316219
2004,0.73,0.725679797517128,0.7343026430861325,0.7271026760704664,0.7328026111049945,0.7230595769456872,0.7366017786033546
2005,0.72,0.7158586000791367,0.7241533658491177,0.7172993251649648,0.7227605729339999,0.713663854178058,0.726406321076681
2006,0.72,0.715520460556008,0.7245622264458939,0.7170676685010662,0.7230071633035579,0.7131493075544147,0.7269513721426201
2007,0.72,0.7155879258086226,0.7243822782628071,0.7171169270072747,0.7228836822100705,0.713295047915279,0.7266454742835747
2008,0.71,0.7057056306928892,0.7143097290470268,0.707158267512857,0.7128097764033642,0.7034878629151682,0.7165686765594123
2009,0.71,0.705642673149346,0.7142871553941479,0.7071515535529099,0.7127979554376735,0.7032432097752143,0.716492184060187
2010,0.71,0.7057687166424086,0.7142903762341049,0.707233829934405,0.712744081055908,0.7034686180729999,0.7165103717370033
2011,0.71,0.7057349291842483,0.7142249008145055,0.7071728702598684,0.712764321466285,0.7035491801467129,0.7165282340924378
2012,0.7,0.6958655061683737,0.7041910888962991,0.6972466316886253,0.7027641233317098,0.6937054119279119,0.7062176276978165
2013,0.7,0.6956183867700598,0.7042297659293507,0.6970823047525058,0.702807785745465,0.693427620896311,0.7065545755680529
2014,0.7,0.6956507902671627,0.7041782571289859,0.6970901979318413,0.7027685188940604,0.693198919752949,0.7065714286933272
2015,0.69,0.6856118415741849,0.6942461179406321,0.6870840583591767,0.69281437014789,0.6834514928401092,0.6964687330663046
2016,0.69,0.6856396175152965,0.6944052495210227,0.6871326103489689,0.692873481097631,0.6832417731881927,0.6966089488711367
2017,0.69,0.6854806476414995,0.6943812408751325,0.6870496132720462,0.692904401533408,0.683194866115459,0.6968512914886258
2018,0.68,0.6757718285014896,0.6842022890246955,0.6772071981998861,0.6827680392946595,0.6736871571009815,0.6864505641993013
2019,0.68,0.6757885766883758,0.6841221161299874,0.6772000501251408,0.6826934426876197,0.6735994744987351,0.6863757009299378
2020,0.68,0.6757533658735012,0.6841382810992274,0.6772357678180146,0.6827186652899385,0.6734833700711744,0.6864381541322003
2021,0.67,0.6657899198737973,0.6742959927683668,0.6671853623897431,0.6727388596517545,0.6635528043005439,0.6766485740103346
2022,0.67,0.6658707140436663,0.6741432378467682,0.6672741190870829,0.6727123884179789,0.6636523199311707,0.6763124921313481
2023,0.67,0.6657290779344243,0.6743251129896677,0.6671299368286028,0.6728136301263975,0.663465564063742,0.6765469552347055
2024,0.67,0.6656709168209543,0.6744758185547203,0.667204456327084,0.6729614575129231,0.6634454112493466,0.6767977896019812
2025,0.67,0.6650763654930761,0.6750696741123208,0.6667401208329524,0.6733422196021228,0.6624075172964953,0.6776841420489785
2026,0.6695,0.6625798709261871,0.6765061932049276,0.6648881585211158,0.6740819321618579,0.6590842764190232,0.6802986919202574
2027,0.669,0.6596474795532584,0.6781971004273829,0.6629911030833691,0.6750746406362681,0.6550910509531387,0.6831508562188345
2028,0.6685,0.6563019262566605,0.680531043391895,0.6604646040763791,0.6760668266141855,0.6500481543785301,0.6872967250868842
2029,0.668,0.653769454856301,0.6821445530896577,0.6586130348133026,0.677322756451607,0.6461519968878932,0.689938885335829
2030,0.6675,0.6506952276383796,0.684518425183712,0.656627449217422,0.6785471407028432,0.6421375328326163,0.6935622884450833
2031,0.667,0.6455682219418583,0.6896027142658967,0.652771262573665,0.6818165748866594,0.6332338325693898,0.7010123612906626
2032,0.6665,0.6418548085666256,0.6913737151578588,0.6502454973156672,0.6828085262649767,0.6278316403871903,0.7039485855093714
2033,0.666,0.6356935039585718,0.6966481373586243,0.646295640307185,0.686189193533713,0.6194237812369107,0.7120179124117827
2034,0.6655,0.63271640290728,0.6991333716801945,0.6435096402068479,0.6880832990369342,0.6146029563733473,0.7171451272424927
2035,0.665,0.6264386150564669,0.7028982053714116,0.6402719862988323,0.6894029280691495,0.6065247629004271,0.7240270396196489
